source_ref,source_type,source_id,title,language,status,approval,text_available,storage,text_size_chars,estimated_chunks,duplicate_group,include,exclude_reason,raw_sha256,content_hash_db,text_sha256
kos:doc_1a104dd64152324a,kos_source_document,doc_1a104dd64152324a,Spectacol muzical „CHECK-UP” cu Danila Kozlovsky - degustare,ru,active,active,true,postgres:kos_source_documents.normalized_text,835,1,,include,,,96bbccc306648a3d98d727a34fd8f3ba5718302db2c3e0760386903a8f30b7cf,96bbccc306648a3d98d727a34fd8f3ba5718302db2c3e0760386903a8f30b7cf
kos:doc_1b56c8ad1b73f928,kos_source_document,doc_1b56c8ad1b73f928,https://cricova.md/ro/vinuri/vinuri,auto,active,active,,postgres:kos_source_documents.normalized_text,0,0,,exclude,text_unavailable,,,
kos:doc_1b780f83dc6edad0,kos_source_document,doc_1b780f83dc6edad0,https://carlevana.md/ru/nacionalniy-den-vina-2025/,auto,active,active,true,postgres:kos_source_documents.normalized_text,1807,1,,include,,,,2dd3c154c73e5926ff90555cb282e8e6ae9de7585cefe40f3ceaef0bbbe63d87
kos:doc_1c1ccf5fd60746ce,kos_source_document,doc_1c1ccf5fd60746ce,https://carlevana.md/ru/,auto,active,active,true,postgres:kos_source_documents.normalized_text,1971,1,,include,,,,7681953738be90bbb74f57ae08ce6c8935b3221778a11b17fb7efe785588b675
kos:doc_1de93b47f457ae3e,kos_source_document,doc_1de93b47f457ae3e,https://aurelius.md/ro/,auto,active,active,true,postgres:kos_source_documents.normalized_text,55903,1,2,include,,,,9cfeec5337c07a680731fcafc63cc571a733ba7a97f972eb1b4fe71f3570748c
kos:doc_1e9c91d2886d4565,kos_source_document,doc_1e9c91d2886d4565,Туры на винодельню - Vinuri de Comrat,ru,active,active,true,postgres:kos_source_documents.normalized_text,6643,7,,include,,,d2521c979ec1684810954bed3efc38646a347c46058ae03323b0264011485ea7,d2521c979ec1684810954bed3efc38646a347c46058ae03323b0264011485ea7
kos:doc_1fc3429c87ca35dd,kos_source_document,doc_1fc3429c87ca35dd,Selections mondiales des vins - Carlevana winery,ru,active,active,true,postgres:kos_source_documents.normalized_text,570,1,,include,,,40719030e01753f4bf55072dc21d7d27da1c9aa8e2b78909be4dde3f5b9e59c5,40719030e01753f4bf55072dc21d7d27da1c9aa8e2b78909be4dde3f5b9e59c5
kos:doc_1fd4bfe973fdbedb,kos_source_document,doc_1fd4bfe973fdbedb,Purcari Negru de Purcari - Chateau Purcari,ru,active,active,true,postgres:kos_source_documents.normalized_text,467,1,3,include,,,5e31a4a489d7f669b0bd001cf5a7d10fc5b01e0e9bfb5a99d18f73d1ddec676d,5e31a4a489d7f669b0bd001cf5a7d10fc5b01e0e9bfb5a99d18f73d1ddec676d
kos:doc_21da92243bd5b8e6,kos_source_document,doc_21da92243bd5b8e6,https://carlevana.md/seara-creativa-a-narinei-abgaryan-a-trai-mai-departe/,auto,active,active,true,postgres:kos_source_documents.normalized_text,1567,1,,include,,,,2d86846a6897fcaf05774b06984be7983bd0f188a207bd747faa3cb0c36587ab
kos:doc_230151e1ea758be7,kos_source_document,doc_230151e1ea758be7,https://wine.md/purcari-freedom-blend-3672,auto,pending,pending,,postgres:kos_source_documents.normalized_text,0,0,,exclude,status_not_active,,,
kos:doc_23eafccdb7692d22,kos_source_document,doc_23eafccdb7692d22,https://wine.md/catalog/wine/vinuri-rosii/,auto,active,active,true,postgres:kos_source_documents.normalized_text,3144,1,,include,,,,6e57310b11995c47434a446d7079c488f97d3a817cb7b4fd3669b05ce33e0edb
kos:doc_2455a1ccab030c87,kos_source_document,doc_2455a1ccab030c87,https://carlevana.md/en/feteasca-regala-grapes-and-wine/,auto,active,active,true,postgres:kos_source_documents.normalized_text,6423,1,,include,,,,c28286b3b766c30a80751deec510c196cad6993928634e670c4e0213a6a04e5b
kos:doc_25d1f65e0a68c88b,kos_source_document,doc_25d1f65e0a68c88b,https://cricova.md/ro/vinuri/vinuri/orasul-subteran,auto,active,active,,postgres:kos_source_documents.normalized_text,0,0,,exclude,text_unavailable,,,
kos:doc_285e835fc41ed269,kos_source_document,doc_285e835fc41ed269,https://carlevana.md/en/wine-from-pinot-noir-grapes/,auto,active,active,true,postgres:kos_source_documents.normalized_text,8733,1,,include,,,,196bd6efef7eb169a6c41b2084932e829d7081014a2f214dadbc586abf58d9ce
kos:doc_2c664366c13d29f1,kos_source_document,doc_2c664366c13d29f1,Cricova,ru,active,active,true,postgres:kos_source_documents.normalized_text,136,1,,include,,,9175e34447fa90d7730647e29e2f4ff067aaf646edc212a8f9823a98dcfc4810,9175e34447fa90d7730647e29e2f4ff067aaf646edc212a8f9823a98dcfc4810
kos:doc_2d19164dc8078f9d,kos_source_document,doc_2d19164dc8078f9d,https://cricova.md/ro/vinuri/vinuri/seria-1952,auto,active,active,,postgres:kos_source_documents.normalized_text,0,0,,exclude,text_unavailable,,,
kos:doc_2e9436c0fb06edba,kos_source_document,doc_2e9436c0fb06edba,Selections mondiales des vins - Carlevana winery,ru,active,active,true,postgres:kos_source_documents.normalized_text,528,1,,include,,,69ca4e06c10bc87eaafed2b75ac4f211d4127c9495666c23decec4bc94f3ad54,69ca4e06c10bc87eaafed2b75ac4f211d4127c9495666c23decec4bc94f3ad54
kos:doc_2ebfef06b54b0312,kos_source_document,doc_2ebfef06b54b0312,Struguri și vin Fetească Regală,ru,active,active,true,postgres:kos_source_documents.normalized_text,3452,3,,include,,,630354c3093550e279ff24d41e7c822d6bcbd936ec7ecdf83c49613549eb958a,630354c3093550e279ff24d41e7c822d6bcbd936ec7ecdf83c49613549eb958a
kos:doc_2f554847122d0333,kos_source_document,doc_2f554847122d0333,Muscat Ottonel: виноград и вино,ru,active,active,true,postgres:kos_source_documents.normalized_text,3786,4,,include,,,0c930e9a9778032dd1901ff871de76822e4e88bb069f22fb7136dfd56a4c014c,0c930e9a9778032dd1901ff871de76822e4e88bb069f22fb7136dfd56a4c014c
kos:doc_30df81f5fcd2ca0c,kos_source_document,doc_30df81f5fcd2ca0c,https://carlevana.md/en/muscat-ottonel-grapes-and-wine/,auto,active,active,true,postgres:kos_source_documents.normalized_text,6949,1,,include,,,,031a4031158d8027ec299935c63c76aa80069cc8e029e444f23f1040388d51d9
kos:doc_314ed7de89509908,kos_source_document,doc_314ed7de89509908,https://cricova.md/ro/vinuri/vinuri/vinuri-licoroase,auto,active,active,,postgres:kos_source_documents.normalized_text,0,0,,exclude,text_unavailable,,,
kos:doc_3351aacd465259c3,kos_source_document,doc_3351aacd465259c3,Cricova - Noutăți,ru,active,active,true,postgres:kos_source_documents.normalized_text,2135,2,,include,,,b08c0a0644ba92e3ee61a6bd82f7152ab300015a2a4d03c6229730ee18c6928c,b08c0a0644ba92e3ee61a6bd82f7152ab300015a2a4d03c6229730ee18c6928c
kos:doc_34a3582b21554e41,kos_source_document,doc_34a3582b21554e41,https://wine.md/catalog/wine/vinuri-albe/floricica/chateau-cojusna-autentic-sauvignon-blanc-and-floricica,auto,pending,pending,,postgres:kos_source_documents.normalized_text,0,0,,exclude,status_not_active,,,
kos:doc_34fbe67fb95b54e2,kos_source_document,doc_34fbe67fb95b54e2,https://cricova.md/ro/despre-noi/sustenabilitate,auto,active,active,,postgres:kos_source_documents.normalized_text,0,0,,exclude,text_unavailable,,,
kos:doc_3957c5692f82b509,kos_source_document,doc_3957c5692f82b509,https://carlevana.md/brunch-exclusiv-la-carlevana-winery/,auto,active,active,true,postgres:kos_source_documents.normalized_text,1267,1,,include,,,,44387d8551de8d69bf61d7cbbe1b0541857f225f396f859238341498d553a4d1
kos:doc_39cfa8df6eedc575,kos_source_document,doc_39cfa8df6eedc575,Degustare la spectacolul lui Masha Mashkova - INOSTRANKA,ru,active,active,true,postgres:kos_source_documents.normalized_text,352,1,,include,,,2708a0f349474573853ac518fa8fa34a462952a037a34f7c8c6ab2fe7aa8430d,2708a0f349474573853ac518fa8fa34a462952a037a34f7c8c6ab2fe7aa8430d
kos:doc_3b0af419b9396d86,kos_source_document,doc_3b0af419b9396d86,https://cricova.md/ro/despre-noi/istorie%22,auto,active,active,true,postgres:kos_source_documents.normalized_text,72,1,,include,,,,4cc65888719212717741e5dd2de19b5d3a9f11fe1b55befcc66ff56ee7033f04
kos:doc_3c6c3e63c46d9fa5,kos_source_document,doc_3c6c3e63c46d9fa5,https://cricova.md/ro/confidentialitate,auto,active,active,true,postgres:kos_source_documents.normalized_text,7782,1,,include,,,,e74400d487138e30869d1b4bacc68a2c8066c58f7a698c1f1ca3bcfe183901eb
kos:doc_3da0d8cc863af206,kos_source_document,doc_3da0d8cc863af206,Kvint,en,active,active,true,postgres:kos_source_documents.normalized_text,2133,1,4,include,,,235ac18f5b8549ad6039315d5b5ee47acb35d218b9b75e142409b86c665d7fa4,235ac18f5b8549ad6039315d5b5ee47acb35d218b9b75e142409b86c665d7fa4
kos:doc_3e49857d04d82e53,kos_source_document,doc_3e49857d04d82e53,https://carlevana.md/ziua-internationala-a-soiului-cabernet-sauvignon/,auto,active,active,true,postgres:kos_source_documents.normalized_text,2680,1,,include,,,,74ce48e626b5489833c9e00cf1c221f5219ee3a4389c5915872db55110d59c31
kos:doc_4001310aa707a0a1,kos_source_document,doc_4001310aa707a0a1,News: wine tours,ru,active,active,true,postgres:kos_source_documents.normalized_text,286,1,,include,,,ed85b94fc9709eb5b6c029fb4b886a5fa862f98b8c9c9f9d8e2ffbd9769487b5,ed85b94fc9709eb5b6c029fb4b886a5fa862f98b8c9c9f9d8e2ffbd9769487b5
kos:doc_40ab60087e7a3e22,kos_source_document,doc_40ab60087e7a3e22,Aurelius,ru,active,active,true,postgres:kos_source_documents.normalized_text,20368,17,1,include,,,418928c275aaee399908dc3e5db5f42433358977db37cef28b44df621346e755,418928c275aaee399908dc3e5db5f42433358977db37cef28b44df621346e755
kos:doc_410b02485a4c00ce,kos_source_document,doc_410b02485a4c00ce,https://carlevana.md/en/national-wine-day-2025/,auto,active,active,true,postgres:kos_source_documents.normalized_text,1812,1,,include,,,,0d3f11846bf3d4aa85fd056cd047f518cf9b5ea4b8a89439c592e066e466622f
kos:doc_441f92ce6ef0953e,kos_source_document,doc_441f92ce6ef0953e,Эксклюзивный бранч на винодельне Carlevana,ru,active,active,true,postgres:kos_source_documents.normalized_text,695,1,,include,,,22a6b29c66704758d715925c49ca6c215693966db09b052dfed8828810c39b44,22a6b29c66704758d715925c49ca6c215693966db09b052dfed8828810c39b44
kos:doc_44498b09be32fef7,kos_source_document,doc_44498b09be32fef7,REZERVARE-CRICOVA,ru,active,active,true,postgres:kos_source_documents.normalized_text,4672,4,,include,,,c73b451270095d47c57be664f8ff10cf3167be8728d2b8f41d99757ec52067bc,c73b451270095d47c57be664f8ff10cf3167be8728d2b8f41d99757ec52067bc
kos:doc_449b60a5e6508a2f,kos_source_document,doc_449b60a5e6508a2f,https://wine.md/catalog/produse-gourmet/sare-de-mare-cu-vin-rosu-/-125-gr,auto,active,active,true,postgres:kos_source_documents.normalized_text,3029,1,,include,,,,cbefd344a3afe4340916b8675e2fcccb744f28e8f075f2365554dfd2351ba64c
kos:doc_44f2d679ae098308,kos_source_document,doc_44f2d679ae098308,https://cricova.md/ro/vinuri/vinuri/ornament,auto,active,active,,postgres:kos_source_documents.normalized_text,0,0,,exclude,text_unavailable,,,
kos:doc_48b2ff1be5547a3f,kos_source_document,doc_48b2ff1be5547a3f,https://carlevana.md/en/selections-mondiales-des-vins-2/,auto,active,active,true,postgres:kos_source_documents.normalized_text,1047,1,,include,,,,788867458f004ee9c7cd21f192d9155e9fe845c4661b531f8c83b3ceea9a2286
kos:doc_48cb97382f8423d6,kos_source_document,doc_48cb97382f8423d6,Vinul Moldovei - Wine of Moldova,ro,active,active,true,postgres:kos_source_documents.normalized_text,887,1,,include,,,41c4295ef8baee36fa17232c82f0a96f828cda37e7452c92a880763e13fe004d,41c4295ef8baee36fa17232c82f0a96f828cda37e7452c92a880763e13fe004d
kos:doc_499339bd0399918e,kos_source_document,doc_499339bd0399918e,Products - Basavin,en,active,active,true,postgres:kos_source_documents.normalized_text,7199,6,,include,,,a6e879f26966b42b8e73a3ffe49eab201cd784926d6c4c610175f667d7cbd8cf,a6e879f26966b42b8e73a3ffe49eab201cd784926d6c4c610175f667d7cbd8cf
kos:doc_4a1de272572de4e9,kos_source_document,doc_4a1de272572de4e9,Cricova - Acasă,ro,active,active,true,postgres:kos_source_documents.normalized_text,1015,1,,include,,,beb7bf63d966ea456e1e2718e97bfdd38dec9df9f7c97b582f3f7f830f50b022,beb7bf63d966ea456e1e2718e97bfdd38dec9df9f7c97b582f3f7f830f50b022
kos:doc_4a75b2f2f23f2065,kos_source_document,doc_4a75b2f2f23f2065,https://carlevana.md/en/wine-festival-2025/,auto,active,active,true,postgres:kos_source_documents.normalized_text,2420,1,,include,,,,e369645022a63b629e4c2c07a2471863172d1e8583a3426d5e66e6d024e37a5b
kos:doc_4b50b678d95f7870,kos_source_document,doc_4b50b678d95f7870,https://carlevana.md/ru/den-vina-2025/,auto,active,active,true,postgres:kos_source_documents.normalized_text,2497,1,,include,,,,846db830c686206027e791f4910e9c112352668d5c8ff203dfaa4b972fc43d50
kos:doc_4bc76619217c119b,kos_source_document,doc_4bc76619217c119b,Cricova | Vinuri,ru,active,active,true,postgres:kos_source_documents.normalized_text,454,1,,include,,,fb424c531edc6b133bd8d3ec268ecd1276acb037447f334e8e81b8b8725c834c,fb424c531edc6b133bd8d3ec268ecd1276acb037447f334e8e81b8b8725c834c
kos:doc_4c3674f75bad7072,kos_source_document,doc_4c3674f75bad7072,Wine of Moldova - Carlevana Winery,ru,active,active,true,postgres:kos_source_documents.normalized_text,5290,5,,include,,,95cd8f0315a8c93e2128880b8f8bcb6389d19b46886eda3066a5080a1560e64f,95cd8f0315a8c93e2128880b8f8bcb6389d19b46886eda3066a5080a1560e64f
kos:doc_4dfeffe0686ed9a2,kos_source_document,doc_4dfeffe0686ed9a2,https://carlevana.md/ru/vinnie-turi/,auto,active,active,true,postgres:kos_source_documents.normalized_text,652,1,,include,,,,c1819213c2fee461148d48941799c5efd0055b277d513ee5bd82d2f3ef36d2be
kos:doc_4ee4c1f256c2a090,kos_source_document,doc_4ee4c1f256c2a090,https://carlevana.md/struguri-si-vin-feteasca-regala/,auto,active,active,true,postgres:kos_source_documents.normalized_text,6637,1,,include,,,,3d65e53c1028e4fba809925f87cd27696980270908e08f896d3ec59d471c97d8
kos:doc_505bd29e4a12efcf,kos_source_document,doc_505bd29e4a12efcf,https://wine.md/catalog/wine/vinuri-albe/pinot-gris/salcuta-pinot-gris,auto,active,active,true,postgres:kos_source_documents.normalized_text,669,1,5,include,,,,a851145525e41129e1290dad6a96ac7dd61942eecc978262d96dbb1498d3e8e9
kos:doc_5313ed3939019e59,kos_source_document,doc_5313ed3939019e59,https://cricova.md/ro/vinuri/vinuri/vintage,auto,active,active,,postgres:kos_source_documents.normalized_text,0,0,,exclude,text_unavailable,,,
kos:doc_53d373c2d9bd7457,kos_source_document,doc_53d373c2d9bd7457,Two awards for Merlotage wine,ru,active,active,true,postgres:kos_source_documents.normalized_text,748,1,,include,,,ca31a277464b26443cf97074997325f63993225f55c929c72f575a156ec963c1,ca31a277464b26443cf97074997325f63993225f55c929c72f575a156ec963c1
kos:doc_55147d2c9ce2c7f9,kos_source_document,doc_55147d2c9ce2c7f9,Degustare la spectacolul lui Masha Mashkova - INOSTRANKA,ru,active,active,true,postgres:kos_source_documents.normalized_text,395,1,,include,,,c493df6faf081ba4080e3219a961fa0dbed41a37f11e03a6e561dec81b4ba5ba,c493df6faf081ba4080e3219a961fa0dbed41a37f11e03a6e561dec81b4ba5ba
kos:doc_5786e1770e7cbc26,kos_source_document,doc_5786e1770e7cbc26,Fetească Regală grapes and wine,ru,active,active,true,postgres:kos_source_documents.normalized_text,3348,3,,include,,,de641f0c02f50ceb5871b19d4d34ccd3265ba4136a6b3d640e9df0b2b20aa7f3,de641f0c02f50ceb5871b19d4d34ccd3265ba4136a6b3d640e9df0b2b20aa7f3
kos:doc_59640891fb66b76c,kos_source_document,doc_59640891fb66b76c,https://cricova.md/ro/despre-noi/parteneri,auto,active,active,,postgres:kos_source_documents.normalized_text,0,0,,exclude,text_unavailable,,,
kos:doc_6099263035320093,kos_source_document,doc_6099263035320093,https://wine.md/catalog/wine/vinuri-rosii/tempranillo/fautor-tempranillo-2015,auto,pending,pending,,postgres:kos_source_documents.normalized_text,0,0,,exclude,status_not_active,,,
kos:doc_63981dcbc05c4731,kos_source_document,doc_63981dcbc05c4731,Cricova Orasul Subteran Feteasca Alba - Cricova,ru,active,active,true,postgres:kos_source_documents.normalized_text,902,1,6,include,,,f8de1c4e686621fd04e464a483d7f344dac6f3bb9815ac90e767c55569d29f04,f8de1c4e686621fd04e464a483d7f344dac6f3bb9815ac90e767c55569d29f04
kos:doc_64cc17b959a61b3b,kos_source_document,doc_64cc17b959a61b3b,https://carlevana.md/ru/vinograd-i-vino-fetyaska-regala/,auto,active,active,true,postgres:kos_source_documents.normalized_text,6448,1,,include,,,,19d9da3ae91cb4194d02fb3fa276e5b7bd0f21ff2836226c3e8c01d7fe0c2476
kos:doc_677cabd2940b28c6,kos_source_document,doc_677cabd2940b28c6,Cojusna Portvein,ru,active,active,true,postgres:kos_source_documents.normalized_text,3420,3,,include,,,088d15cc200a6132ea8e231040ca5c6b64a466ec1c6535b886c2c055c7da2ce4,088d15cc200a6132ea8e231040ca5c6b64a466ec1c6535b886c2c055c7da2ce4
kos:doc_67bb5d9d84eb6fac,kos_source_document,doc_67bb5d9d84eb6fac,https://carlevana.md/en/two-awards-for-merlotage-wine/,auto,active,active,true,postgres:kos_source_documents.normalized_text,1437,1,,include,,,,0d145fbc7ccca3b166b7c15cedff7954ad1c0bb4a30eeafa61e73a85f8109f40
kos:doc_6855d78027f0c972,kos_source_document,doc_6855d78027f0c972,Spectacol muzical „CHECK-UP” cu Danila Kozlovsky - degustare,ru,active,active,true,postgres:kos_source_documents.normalized_text,782,1,,include,,,76fde1d08f99c35cc1a4396764931e0b390576c2da9a62312563e0a05a13d164,76fde1d08f99c35cc1a4396764931e0b390576c2da9a62312563e0a05a13d164
kos:doc_69e344c669b2d722,kos_source_document,doc_69e344c669b2d722,https://wine.md/serviciul-clienti/politica-de-livrare,auto,active,active,true,postgres:kos_source_documents.normalized_text,2765,1,,include,,,,ea9545969bbbeb7ef90ec06ead1fe9ae26f80b27c11ca7208c8fbd2118183371
kos:doc_6c98876312e96c91,kos_source_document,doc_6c98876312e96c91,https://cricova.md/ro/despre-noi/contacte,auto,active,active,,postgres:kos_source_documents.normalized_text,0,0,,exclude,text_unavailable,,,
kos:doc_6e0b066685697489,kos_source_document,doc_6e0b066685697489,National Wine Day 2025,ru,active,active,true,postgres:kos_source_documents.normalized_text,1231,2,,include,,,eb5175361edbdb54ec810ed189451a3a048572437c7f0ab8e8a5a2e74280f205,eb5175361edbdb54ec810ed189451a3a048572437c7f0ab8e8a5a2e74280f205
kos:doc_70ab7a00f2eccff9,kos_source_document,doc_70ab7a00f2eccff9,https://cricova.md/ro/cos,auto,active,active,,postgres:kos_source_documents.normalized_text,0,0,,exclude,text_unavailable,,,
kos:doc_719c83cdbc36574f,kos_source_document,doc_719c83cdbc36574f,Cricova - Despre Noi: Istoria,ru,active,active,true,postgres:kos_source_documents.normalized_text,7171,7,,include,,,c35f7bca52755d52b93929a04d915935a6f79f6bea1be3c69de6b60c982c7a38,c35f7bca52755d52b93929a04d915935a6f79f6bea1be3c69de6b60c982c7a38
kos:doc_71c808961b44cdfd,kos_source_document,doc_71c808961b44cdfd,https://carlevana.md/en/international-cabernet-sauvignon-day/,auto,active,active,true,postgres:kos_source_documents.normalized_text,2498,1,,include,,,,7dba44f56510755b24c28e14c9c76aa6f9c736cecdd0cbe85034c9d40ee44e44
kos:doc_722a09ba65b740ee,kos_source_document,doc_722a09ba65b740ee,Cricova - Despre Noi: Transparență,ru,active,active,true,postgres:kos_source_documents.normalized_text,20541,18,,include,,,f1f458ac0e5aaabbe406f6e5b3abec50e26d15c78a9318e16bc5b94d34505a8c,f1f458ac0e5aaabbe406f6e5b3abec50e26d15c78a9318e16bc5b94d34505a8c
kos:doc_7330c2d72358aa63,kos_source_document,doc_7330c2d72358aa63,https://cricova.md/ro/blog/gallery,auto,active,active,,postgres:kos_source_documents.normalized_text,0,0,,exclude,text_unavailable,,,
